fecha,codigo,tipo,cantidad
2026-08-27,A004,entrada,8
2026-08-27,B001,salida,3
2026-08-27,B002,salida,5
2026-08-27,B003,entrada,20
2026-08-27,L002,salida,7
2026-08-28,A001,salida,2
2026-08-28,B001,salida,8
2026-08-28,B002,salida,3
2026-08-28,B002,salida,6
2026-08-28,B002,salida,8
2026-08-28,B004,salida,3
2026-08-29,A004,salida,1
2026-08-29,B003,salida,6
2026-08-29,G003,salida,5
2026-08-30,B001,entrada,16
2026-09-01,B002,salida,3
2026-09-01,G001,entrada,22
2026-09-01,G003,entrada,8
2026-09-01,L003,entrada,6
2026-09-02,A003,salida,6
2026-09-02,B003,salida,6
2026-09-02,B004,entrada,6
2026-09-02,G001,salida,2
2026-09-02,G001,salida,4
2026-09-02,G001,salida,7
2026-09-02,G003,salida,3
2026-09-03,A002,salida,3
2026-09-03,A003,salida,4
2026-09-03,L001,entrada,6
2026-09-03,L003,salida,2
2026-09-04,A003,entrada,12
2026-09-05,L003,salida,4
2026-09-06,A001,salida,6
2026-09-06,B003,salida,3
2026-09-06,G001,salida,8
2026-09-07,L001,salida,3
2026-09-08,A002,salida,5
2026-09-08,G001,salida,5
2026-09-09,A001,salida,5
2026-09-09,G002,salida,3
2026-09-09,G003,salida,4
2026-09-09,L001,salida,3
2026-09-10,A002,entrada,10
2026-09-12,L002,salida,3
2026-09-13,A003,salida,8
2026-09-13,A005,salida,7
2026-09-13,B002,salida,4
2026-09-13,G002,salida,8
2026-09-13,L003,salida,3
2026-09-15,B002,salida,5
2026-09-15,B004,salida,4
2026-09-17,A001,salida,5
2026-09-18,B001,salida,8
2026-09-18,B003,salida,3
2026-09-19,B001,salida,5
2026-09-19,B002,salida,3
2026-09-19,B003,salida,3
2026-09-20,A001,salida,4
2026-09-20,A004,salida,4
2026-09-20,G001,salida,4
2026-09-20,G002,salida,4
2026-09-21,A004,salida,3
2026-09-21,B003,salida,6
2026-09-21,B004,salida,2
2026-09-22,B003,salida,3
2026-09-22,G002,salida,3
2026-09-23,A002,salida,7
2026-09-23,A005,salida,7
2026-09-24,A004,salida,4
2026-09-24,B002,salida,2
2026-09-24,G001,salida,3
2026-09-25,A001,salida,8
